Date,Name,NAV
03/08/2018,Fidelity Index World P Acc,1.6798,
03/09/2018,Fidelity Index World P Acc,1.6904,
03/12/2018,Fidelity Index World P Acc,1.7115,
03/13/2018,Fidelity Index World P Acc,1.7057,
03/14/2018,Fidelity Index World P Acc,1.6885,
03/15/2018,Fidelity Index World P Acc,1.6876,
03/16/2018,Fidelity Index World P Acc,1.6803,
03/19/2018,Fidelity Index World P Acc,1.664,
03/20/2018,Fidelity Index World P Acc,1.6575,
03/21/2018,Fidelity Index World P Acc,1.6528,
03/22/2018,Fidelity Index World P Acc,1.6309,
03/23/2018,Fidelity Index World P Acc,1.607,
03/26/2018,Fidelity Index World P Acc,1.5916,
03/27/2018,Fidelity Index World P Acc,1.6254,
03/28/2018,Fidelity Index World P Acc,1.5958,
03/29/2018,Fidelity Index World P Acc,1.6041,
04/03/2018,Fidelity Index World P Acc,1.5977,
04/04/2018,Fidelity Index World P Acc,1.5848,
04/05/2018,Fidelity Index World P Acc,1.6219,
04/06/2018,Fidelity Index World P Acc,1.6286,
04/09/2018,Fidelity Index World P Acc,1.6109,
04/10/2018,Fidelity Index World P Acc,1.6193,
04/11/2018,Fidelity Index World P Acc,1.6142,
04/12/2018,Fidelity Index World P Acc,1.6222,
04/13/2018,Fidelity Index World P Acc,1.6173,
04/16/2018,Fidelity Index World P Acc,1.6181,
04/17/2018,Fidelity Index World P Acc,1.6219,
04/18/2018,Fidelity Index World P Acc,1.6456,
04/19/2018,Fidelity Index World P Acc,1.647,
04/20/2018,Fidelity Index World P Acc,1.6553,
04/23/2018,Fidelity Index World P Acc,1.6565,
04/24/2018,Fidelity Index World P Acc,1.6665,
04/25/2018,Fidelity Index World P Acc,1.6353,
04/26/2018,Fidelity Index World P Acc,1.6439,
04/27/2018,Fidelity Index World P Acc,1.6788,
04/30/2018,Fidelity Index World P Acc,1.6857,
05/01/2018,Fidelity Index World P Acc,1.6792,
05/02/2018,Fidelity Index World P Acc,1.6874,
05/03/2018,Fidelity Index World P Acc,1.6872,
05/04/2018,Fidelity Index World P Acc,1.6858,
05/08/2018,Fidelity Index World P Acc,1.7108,
05/09/2018,Fidelity Index World P Acc,1.707,
05/10/2018,Fidelity Index World P Acc,1.7164,
05/11/2018,Fidelity Index World P Acc,1.7343,
05/14/2018,Fidelity Index World P Acc,1.7366,
05/15/2018,Fidelity Index World P Acc,1.7413,
05/16/2018,Fidelity Index World P Acc,1.7378,
05/17/2018,Fidelity Index World P Acc,1.7408,
05/18/2018,Fidelity Index World P Acc,1.7435,
05/21/2018,Fidelity Index World P Acc,1.7572,
05/22/2018,Fidelity Index World P Acc,1.7554,
05/23/2018,Fidelity Index World P Acc,1.7501,
05/24/2018,Fidelity Index World P Acc,1.7539,
05/25/2018,Fidelity Index World P Acc,1.7573,
05/29/2018,Fidelity Index World P Acc,1.7423,
05/30/2018,Fidelity Index World P Acc,1.7381,
05/31/2018,Fidelity Index World P Acc,1.7501,
06/01/2018,Fidelity Index World P Acc,1.7444,
06/04/2018,Fidelity Index World P Acc,1.7532,
06/05/2018,Fidelity Index World P Acc,1.7596,
06/06/2018,Fidelity Index World P Acc,1.7547,
06/07/2018,Fidelity Index World P Acc,1.7638,
06/08/2018,Fidelity Index World P Acc,1.757,
06/11/2018,Fidelity Index World P Acc,1.7758,
06/12/2018,Fidelity Index World P Acc,1.774,
06/13/2018,Fidelity Index World P Acc,1.7835,
06/14/2018,Fidelity Index World P Acc,1.7642,
06/15/2018,Fidelity Index World P Acc,1.7825,
06/18/2018,Fidelity Index World P Acc,1.7724,
06/19/2018,Fidelity Index World P Acc,1.7686,
06/20/2018,Fidelity Index World P Acc,1.7835,
06/21/2018,Fidelity Index World P Acc,1.7846,
06/22/2018,Fidelity Index World P Acc,1.7606,
06/25/2018,Fidelity Index World P Acc,1.7562,
06/26/2018,Fidelity Index World P Acc,1.7465,
06/27/2018,Fidelity Index World P Acc,1.7513,
06/28/2018,Fidelity Index World P Acc,1.756,
06/29/2018,Fidelity Index World P Acc,1.7611,
07/02/2018,Fidelity Index World P Acc,1.7468,
07/03/2018,Fidelity Index World P Acc,1.7578,
07/04/2018,Fidelity Index World P Acc,1.749,
07/05/2018,Fidelity Index World P Acc,1.7557,
07/06/2018,Fidelity Index World P Acc,1.7582,
07/09/2018,Fidelity Index World P Acc,1.764,
07/10/2018,Fidelity Index World P Acc,1.7858,
07/11/2018,Fidelity Index World P Acc,1.7748,
07/12/2018,Fidelity Index World P Acc,1.7863,
07/13/2018,Fidelity Index World P Acc,1.8013,
07/16/2018,Fidelity Index World P Acc,1.7846,
07/17/2018,Fidelity Index World P Acc,1.7871,
07/18/2018,Fidelity Index World P Acc,1.8206,
07/19/2018,Fidelity Index World P Acc,1.828,
07/20/2018,Fidelity Index World P Acc,1.8182,
07/23/2018,Fidelity Index World P Acc,1.8055,
07/24/2018,Fidelity Index World P Acc,1.8134,
07/25/2018,Fidelity Index World P Acc,1.8132,
07/26/2018,Fidelity Index World P Acc,1.8206,
07/27/2018,Fidelity Index World P Acc,1.8337,
